Виталий Лазаревич Гинзбург,,,,,,
СКАЧАНА КУПЛЕНА,НАЗВАНИЕ,ГОД ИЗДАНИЯ,АВТОРЫ,ЖАНР,ЯЗЫК,ССЫЛКА
TRUE,РАЗУМ ПОБЕЖДАЕТ: РАССКАЗЫВАЮТ УЧЕНЫЕ,1979,"Барашенков Владилен Сергеевич, Брагинский Владимир Иосифович, Гинзбург Виталий Лазаревич, Леонид Ефремов, Зельдович Яков Борисович и др.","Физика, Биология, Астрономия и Космос, Наука, Общая философия",РУССКИЙ,https://www.icloud.com/iclouddrive/021tsGf2RBNIAihitj-JIlhyQ#%25D0%25A0%25D0%2590%25D0%2597%25D0%25A3%25D0%259C_%25D0%259F%25D0%259E%25D0%2591%25D0%2595%25D0%2596%25D0%2594%25D0%2590%25D0%2595%25D0%25A2_%25D0%25A0%25D0%2590%25D0%25A1%25D0%25A1%25D0%259A%25D0%2590%25D0%2597%25D0%25AB%25D0%2592%25D0%2590%25D0%25AE%25D0%25A2_%25D0%25A3%25D0%25A7%25D0%2595%25D0%259D%25D0%25AB%25D0%2595#
TRUE,ВОСПОМИНАНИЯ О Л. Д. ЛАНДАУ,1988,"Смородинский Яков Абрамович, Гинзбург Виталий Лазаревич, Мигдал Аркадий Бенедиктович, Данин Даниил Семенович, Фейнберг Евгений Львович и др.",Биографии и мемуары,РУССКИЙ,https://www.icloud.com/iclouddrive/0ccqZvjimzqm9hAN3cN94CgNQ#%25D0%2592%25D0%259E%25D0%25A1%25D0%259F%25D0%259E%25D0%259C%25D0%2598%25D0%259D%25D0%2590%25D0%259D%25D0%2598%25D0%25AF_%25D0%259E_%25D0%259B._%25D0%2594._%25D0%259B%25D0%2590%25D0%259D%25D0%2594%25D0%2590%25D0%25A3#
TRUE,АТОМНОЕ ЯДРО И ЕГО ЭНЕРГИЯ,1946,Гинзбург Виталий Лазаревич,"Физика, Наука",РУССКИЙ,https://www.icloud.com/iclouddrive/05dXNhBuV4Ch-UCZ0Uk75i8Gw#%25D0%2590%25D0%25A2%25D0%259E%25D0%259C%25D0%259D%25D0%259E%25D0%2595_%25D0%25AF%25D0%2594%25D0%25A0%25D0%259E_%25D0%2598_%25D0%2595%25D0%2593%25D0%259E_%25D0%25AD%25D0%259D%25D0%2595%25D0%25A0%25D0%2593%25D0%2598%25D0%25AF#
TRUE,ФИЗИЧЕСКИЙ МИНИМУМ НА НАЧАЛО XXI ВЕКА,2003,Гинзбург Виталий Лазаревич,"Физика, Наука",РУССКИЙ,https://www.icloud.com/iclouddrive/073yk16Kk9JkXUdC2jocBV6bA#%25D0%25A4%25D0%2598%25D0%2597%25D0%2598%25D0%25A7%25D0%2595%25D0%25A1%25D0%259A%25D0%2598%25D0%2599_%25D0%259C%25D0%2598%25D0%259D%25D0%2598%25D0%259C%25D0%25A3%25D0%259C_%25D0%259D%25D0%2590_%25D0%259D%25D0%2590%25D0%25A7%25D0%2590%25D0%259B%25D0%259E_XXI_%25D0%2592%25D0%2595%25D0%259A%25D0%2590#
TRUE,"О НАУКЕ, О СЕБЕ И О ДРУГИХ",2001,Гинзбург Виталий Лазаревич,"Математика, Наука",РУССКИЙ,https://www.icloud.com/iclouddrive/052WQ67hDmWFqTCpUmzJyIPyw#%25D0%259E_%25D0%259D%25D0%2590%25D0%25A3%25D0%259A%25D0%2595%2C_%25D0%259E_%25D0%25A1%25D0%2595%25D0%2591%25D0%2595_%25D0%2598_%25D0%259E_%25D0%2594%25D0%25A0%25D0%25A3%25D0%2593%25D0%2598%25D0%25A5#
TRUE,ТЕОРЕТИЧЕСКАЯ ФИЗИКА И АСТРОФИЗИКА. ДОПОЛНИТЕЛЬНЫЕ ГЛАВЫ,1975,Гинзбург Виталий Лазаревич,"Математика, Наука",РУССКИЙ,https://www.icloud.com/iclouddrive/0b5GoiUrq1nn4BnuyN36zgk1w#%25D0%25A2%25D0%2595%25D0%259E%25D0%25A0%25D0%2595%25D0%25A2%25D0%2598%25D0%25A7%25D0%2595%25D0%25A1%25D0%259A%25D0%2590%25D0%25AF_%25D0%25A4%25D0%2598%25D0%2597%25D0%2598%25D0%259A%25D0%2590_%25D0%2598_%25D0%2590%25D0%25A1%25D0%25A2%25D0%25A0%25D0%259E%25D0%25A4%25D0%2598%25D0%2597%25D0%2598%25D0%259A%25D0%2590._%25D0%2594%25D0%259E%25D0%259F%25D0%259E%25D0%259B%25D0%259D%25D0%2598%25D0%25A2%25D0%2595%25D0%259B%25D0%25AC%25D0%259D%25D0%25AB%25D0%2595_%25D0%2593%25D0%259B%25D0%2590%25D0%2592%25D0%25AB#
TRUE,ИЗ ОТЧЕТА № 3 В.Л. ГИНЗБУРГА 1. ИСПОЛЬЗОВАНИЕ LI6D,1949,Гинзбург Виталий Лазаревич,Военная техника и вооружение,РУССКИЙ,https://www.icloud.com/iclouddrive/08aXyKdCYzbEpXPtysfrvmnCg#%25D0%2598%25D0%2597_%25D0%259E%25D0%25A2%25D0%25A7%25D0%2595%25D0%25A2%25D0%2590_%25E2%2584%2596_3_%25D0%2592.%25D0%259B._%25D0%2593%25D0%2598%25D0%259D%25D0%2597%25D0%2591%25D0%25A3%25D0%25A0%25D0%2593%25D0%2590_1._%25D0%2598%25D0%25A1%25D0%259F%25D0%259E%25D0%259B%25D0%25AC%25D0%2597%25D0%259E%25D0%2592%25D0%2590%25D0%259D%25D0%2598%25D0%2595_LI6D#
TRUE,СОВРЕМЕННАЯ АСТРОФИЗИКА,1965,Гинзбург Виталий Лазаревич," Физика, Учебная, методическая литература и словари",РУССКИЙ,https://www.icloud.com/iclouddrive/095R7o3TQHpVTpN0uXJkfz2jg#%25D0%25A1%25D0%259E%25D0%2592%25D0%25A0%25D0%2595%25D0%259C%25D0%2595%25D0%259D%25D0%259D%25D0%2590%25D0%25AF_%25D0%2590%25D0%25A1%25D0%25A2%25D0%25A0%25D0%259E%25D0%25A4%25D0%2598%25D0%2597%25D0%2598%25D0%259A%25D0%2590#
FALSE,СБОРНИК ЗАДАЧ ПО ОБЩЕМУ КУРСУ ФИЗИКИ. КНИГА IV. ОПТИКА,2006,Гинзбург Виталий Лазаревич, Учебная литература,РУССКИЙ,https://www.litres.ru/vitaliy-lazarevich-ginzburg/sbornik-zadach-po-obschemu-kursu-fiziki-kniga-iv-optika-16958028/#
FALSE,СБОРНИК ЗАДАЧ ПО ОБЩЕМУ КУРСУ ФИЗИКИ. КНИГА V. АТОМНАЯ ФИЗИКА. ФИЗИКА ЯДРА И ЭЛЕМЕНТАРНЫХ ЧАСТИЦ,2006,Гинзбург Виталий Лазаревич,Общий курс физики. Сборник задач,РУССКИЙ,https://www.litres.ru/vitaliy-lazarevich-ginzburg/sbornik-zadach-po-obschemu-kursu-fiziki-kniga-v-atomnaya-fizika-fizika-yadra-i-elementarnyh-chastic-16958035/#
TRUE,СВЕРХПРОВОДИМОСТЬ,1990,"Гинзбург Виталий Лазаревич, Андрюшин Евгений Александрович","Физика, Учебная, методическая литература и словари",РУССКИЙ,https://www.icloud.com/iclouddrive/0d6ghxI7jKonYkmDtYHvbWK2g#%25D0%25A1%25D0%2592%25D0%2595%25D0%25A0%25D0%25A5%25D0%259F%25D0%25A0%25D0%259E%25D0%2592%25D0%259E%25D0%2594%25D0%2598%25D0%259C%25D0%259E%25D0%25A1%25D0%25A2%25D0%25AC#
TRUE,РАСПРОСТРАНЕНИЕ РАДИОВОЛН,1953,"Гинзбург Виталий Лазаревич, Фейнберг Евгений Львович, Альперт Яков Львович",Физика,РУССКИЙ,https://www.icloud.com/iclouddrive/061ftfpPVLOkgB__2aJWfax1A#%25D0%25A0%25D0%2590%25D0%25A1%25D0%259F%25D0%25A0%25D0%259E%25D0%25A1%25D0%25A2%25D0%25A0%25D0%2590%25D0%259D%25D0%2595%25D0%259D%25D0%2598%25D0%2595_%25D0%25A0%25D0%2590%25D0%2594%25D0%2598%25D0%259E%25D0%2592%25D0%259E%25D0%259B%25D0%259D#
TRUE,О ФИЗИКЕ И АСТРОФИЗИКЕ. КАКИЕ ПРОБЛЕМЫ ПРЕДСТАВЛЯЮТСЯ СЕЙЧАС ОСОБЕННО ВАЖНЫМИ И ИНТЕРЕСНЫМИ?,1980,Гинзбург Виталий Лазаревич,"Физика, Учебная, методическая литература и словари",РУССКИЙ,https://www.icloud.com/iclouddrive/049mKH-ESQJ6StysTTtESVNww#%25D0%259E_%25D0%25A4%25D0%2598%25D0%2597%25D0%2598%25D0%259A%25D0%2595_%25D0%2598_%25D0%2590%25D0%25A1%25D0%25A2%25D0%25A0%25D0%259E%25D0%25A4%25D0%2598%25D0%2597%25D0%2598%25D0%259A%25D0%2595._%25D0%259A%25D0%2590%25D0%259A%25D0%2598%25D0%2595_%25D0%259F%25D0%25A0%25D0%259E%25D0%2591%25D0%259B%25D0%2595%25D0%259C%25D0%25AB_%25D0%259F%25D0%25A0%25D0%2595%25D0%2594%25D0%25A1%25D0%25A2%25D0%2590%25D0%2592%25D0%259B%25D0%25AF%25D0%25AE%25D0%25A2%25D0%25A1%25D0%25AF_%25D0%25A1%25D0%2595%25D0%2599%25D0%25A7%25D0%2590%25D0%25A1_%25D0%259E%25D0%25A1%25D0%259E%25D0%2591%25D0%2595%25D0%259D%25D0%259D%25D0%259E_%25D0%2592%25D0%2590%25D0%2596%25D0%259D%25D0%25AB%25D0%259C%25D0%2598_%25D0%2598_%25D0%2598%25D0%259D%25D0%25A2%25D0%2595%25D0%25A0%25D0%2595%25D0%25A1%25D0%259D%25D0%25AB%25D0%259C%25D0%2598%3F#
TRUE,АКАДЕМИК ИГОРЬ ЕВГЕНЬЕВИЧ ТАММ,1982,"Гинзбург Виталий Лазаревич, Фейнберг Евгений Львович, Тамм Игорь Евгеньевич, Головин Игорь Николаевич, Франк Илья Михайлович и др.","Биографии и мемуары, Физика",РУССКИЙ,https://www.icloud.com/iclouddrive/0adsFS8_lLuB62NlYThQ5-LVw#%25D0%2590%25D0%259A%25D0%2590%25D0%2594%25D0%2595%25D0%259C%25D0%2598%25D0%259A_%25D0%2598%25D0%2593%25D0%259E%25D0%25A0%25D0%25AC_%25D0%2595%25D0%2592%25D0%2593%25D0%2595%25D0%259D%25D0%25AC%25D0%2595%25D0%2592%25D0%2598%25D0%25A7_%25D0%25A2%25D0%2590%25D0%259C%25D0%259C#
TRUE,РОЖДЕНИЕ И ЭВОЛЮЦИЯ ГАЛАКТИК И ЗВЕЗД,1964,"Гинзбург Виталий Лазаревич, Зельдович Яков Борисович, Смородинский Яков Абрамович, Понтекорво Бруно Максимович, Фок Владимир Александрович и др.","Учебная, методическая литература и словари, Астрономия и Космос",РУССКИЙ,https://www.icloud.com/iclouddrive/002x2VhhR6WEbUPGGw6CfeF1A#%25D0%25A0%25D0%259E%25D0%2596%25D0%2594%25D0%2595%25D0%259D%25D0%2598%25D0%2595_%25D0%2598_%25D0%25AD%25D0%2592%25D0%259E%25D0%259B%25D0%25AE%25D0%25A6%25D0%2598%25D0%25AF_%25D0%2593%25D0%2590%25D0%259B%25D0%2590%25D0%259A%25D0%25A2%25D0%2598%25D0%259A_%25D0%2598_%25D0%2597%25D0%2592%25D0%2595%25D0%2597%25D0%2594#
TRUE,ЗВЕЗДЫ И ВСЕЛЕННАЯ,1966,"Гинзбург Виталий Лазаревич, Новиков Игорь Дмитриевич, Воронцов-Вельяминов Борис Александрович, Наан Густав Иоганнович, Амбарцумян Виктор Амазаспович и др.","Учебная, методическая литература и словари, Астрономия и Космос",РУССКИЙ,https://www.icloud.com/iclouddrive/087C7R536d0hdcqgUv743egJQ#%25D0%2597%25D0%2592%25D0%2595%25D0%2597%25D0%2594%25D0%25AB_%25D0%2598_%25D0%2592%25D0%25A1%25D0%2595%25D0%259B%25D0%2595%25D0%259D%25D0%259D%25D0%2590%25D0%25AF#
TRUE,РАЗУМ И ВЕРА,1999,Гинзбург Виталий Лазаревич,Религия,РУССКИЙ,https://www.icloud.com/iclouddrive/016A-ZQl9Jkd_7qI0tOjC8XXA#%25D0%25A0%25D0%2590%25D0%2597%25D0%25A3%25D0%259C_%25D0%2598_%25D0%2592%25D0%2595%25D0%25A0%25D0%2590#
TRUE,Вера в Бога несовместима с научным мышлением,2000,Гинзбург Виталий Лазаревич,Религия,РУССКИЙ,https://www.icloud.com/pages/02fKymDvr9W7qkOpbZue8oIeg#%25D0%2592%25D0%25B5%25D1%2580%25D0%25B0_%25D0%25B2_%25D0%2591%25D0%25BE%25D0%25B3%25D0%25B0_%25D0%25BD%25D0%25B5%25D1%2581%25D0%25BE%25D0%25B2%25D0%25BC%25D0%25B5%25D1%2581%25D1%2582%25D0%25B8%25D0%25BC%25D0%25B0_%25D1%2581_%25D0%25BD%25D0%25B0%25D1%2583%25D1%2587%25D0%25BD%25D1%258B%25D0%25BC_%25D0%25BC%25D1%258B%25D1%2588%25D0%25BB%25D0%25B5%25D0%25BD%25D0%25B8%25D0%25B5%25D0%25BC#
TRUE,"Виталий Гинзбург о религии, науке, астрологии и атеизме",не указано,Гинзбург Виталий Лазаревич,"Интервью, Религия",РУССКИЙ,https://www.icloud.com/pages/0aaqvrfbg5Hn-h_MzHltDtJeg#%25D0%2592%25D0%25B8%25D1%2582%25D0%25B0%25D0%25BB%25D0%25B8%25D0%25B9_%25D0%2593%25D0%25B8%25D0%25BD%25D0%25B7%25D0%25B1%25D1%2583%25D1%2580%25D0%25B3_%25D0%25BE_%25D1%2580%25D0%25B5%25D0%25BB%25D0%25B8%25D0%25B3%25D0%25B8%25D0%25B8%2C_%25D0%25BD%25D0%25B0%25D1%2583%25D0%25BA%25D0%25B5%2C_%25D0%25B0%25D1%2581%25D1%2582%25D1%2580%25D0%25BE%25D0%25BB%25D0%25BE%25D0%25B3%25D0%25B8%25D0%25B8_%25D0%25B8_%25D0%25B0%25D1%2582%25D0%25B5%25D0%25B8%25D0%25B7%25D0%25BC%25D0%25B5#
TRUE,Физики с чудесами не сталкиваются,2003,Гинзбург Виталий Лазаревич,"Интервью, Религия",РУССКИЙ,https://www.icloud.com/pages/0370Ypar3A1S0gLVJeLKt6i7A#%25D0%25A4%25D0%25B8%25D0%25B7%25D0%25B8%25D0%25BA%25D0%25B8_%25D1%2581_%25D1%2587%25D1%2583%25D0%25B4%25D0%25B5%25D1%2581%25D0%25B0%25D0%25BC%25D0%25B8_%25D0%25BD%25D0%25B5_%25D1%2581%25D1%2582%25D0%25B0%25D0%25BB%25D0%25BA%25D0%25B8%25D0%25B2%25D0%25B0%25D1%258E%25D1%2582%25D1%2581%25D1%258F#
TRUE,Страна просто погружается в мракобесие,2004,Гинзбург Виталий Лазаревич,"Интервью, Религия",РУССКИЙ,https://www.icloud.com/pages/00aWveYTv4-0WYpEEUWzONbzA#%25D0%25A1%25D1%2582%25D1%2580%25D0%25B0%25D0%25BD%25D0%25B0_%25D0%25BF%25D1%2580%25D0%25BE%25D1%2581%25D1%2582%25D0%25BE_%25D0%25BF%25D0%25BE%25D0%25B3%25D1%2580%25D1%2583%25D0%25B6%25D0%25B0%25D0%25B5%25D1%2582%25D1%2581%25D1%258F_%25D0%25B2_%25D0%25BC%25D1%2580%25D0%25B0%25D0%25BA%25D0%25BE%25D0%25B1%25D0%25B5%25D1%2581%25D0%25B8%25D0%25B5#
