Виталий Лазаревич Гинзбург,,,,,,
TRUE,"Атеисты, воинствующие безбожники, верующие в бога, исповедующие религию - к какой из этих категорий принадлежат читатели ""Научки и жизни""?",2000,Гинзбург Виталий Лазаревич,Религия,РУССКИЙ,https://www.icloud.com/pages/018I4-Go9KzLPOZvvXtIJ81LQ#%25D0%2590%25D1%2582%25D0%25B5%25D0%25B8%25D1%2581%25D1%2582%25D1%258B%2C_%25D0%25B2%25D0%25BE%25D0%25B8%25D0%25BD%25D1%2581%25D1%2582%25D0%25B2%25D1%2583%25D1%258E%25D1%2589%25D0%25B8%25D0%25B5_%25D0%25B1%25D0%25B5%25D0%25B7%25D0%25B1%25D0%25BE%25D0%25B6%25D0%25BD%25D0%25B8%25D0%25BA%25D0%25B8#
TRUE,ДЕМАГОГИ И НЕВЕЖДЫ ПРОТИВ НАУЧНОЙ ЭКСПЕРТИЗЫ,2000,Гинзбург Виталий Лазаревич,Религия,РУССКИЙ,https://www.icloud.com/iclouddrive/03aDldkTyc7IVK-lAjfBJ9tIg#%25D0%2594%25D0%2595%25D0%259C%25D0%2590%25D0%2593%25D0%259E%25D0%2593%25D0%2598_%25D0%2598_%25D0%259D%25D0%2595%25D0%2592%25D0%2595%25D0%2596%25D0%2594%25D0%25AB_%25D0%259F%25D0%25A0%25D0%259E%25D0%25A2%25D0%2598%25D0%2592_%25D0%259D%25D0%2590%25D0%25A3%25D0%25A7%25D0%259D%25D0%259E%25D0%2599_%25D0%25AD%25D0%259A%25D0%25A1%25D0%259F%25D0%2595%25D0%25A0%25D0%25A2%25D0%2598%25D0%2597%25D0%25AB#
FALSE,Удельный вес прекрасной половины (НЕ НАЙДЕНО) ,,Гинзбург Виталий Лазаревич,,РУССКИЙ,http://www.apple.com#
TRUE,Желательно думать головой,не указано,Гинзбург Виталий Лазаревич,"Интервью, Религия, Физика",РУССКИЙ,https://www.icloud.com/pages/067tzgmkYWefUb5EQOTbOQ9Og#%25D0%2596%25D0%25B5%25D0%25BB%25D0%25B0%25D1%2582%25D0%25B5%25D0%25BB%25D1%258C%25D0%25BD%25D0%25BE_%25D0%25B4%25D1%2583%25D0%25BC%25D0%25B0%25D1%2582%25D1%258C_%25D0%25B3%25D0%25BE%25D0%25BB%25D0%25BE%25D0%25B2%25D0%25BE%25D0%25B9#
TRUE,Атеизм умер? - Да здравствует атеизм! И свобода совести.,1999,В.Л.Гинзбург и Е.Л.Фейнберг,"Интервью, Религия",РУССКИЙ,https://www.icloud.com/pages/0736bJxgoUURxUCC1GJoavhpg#_%25D0%2590%25D1%2582%25D0%25B5%25D0%25B8%25D0%25B7%25D0%25BC_%25D1%2583%25D0%25BC%25D0%25B5%25D1%2580_%25D0%2594%25D0%25B0_%25D0%25B7%25D0%25B4%25D1%2580%25D0%25B0%25D0%25B2%25D1%2581%25D1%2582%25D0%25B2%25D1%2583%25D0%25B5%25D1%2582_%25D0%25B0%25D1%2582%25D0%25B5%25D0%25B8%25D0%25B7%25D0%25BC_%25D0%2598_%25D1%2581%25D0%25B2%25D0%25BE%25D0%25B1%25D0%25BE%25D0%25B4%25D0%25B0_%25D1%2581%25D0%25BE%25D0%25B2%25D0%25B5%25D1%2581%25D1%2582%25D0%25B8#
TRUE,10-летие борьбы с лженаукой в России,2009,Гинзбург Виталий Лазаревич,"Интервью, Религия, Физика",РУССКИЙ,https://www.icloud.com/pages/0e9HAp5Q5fUFivG7UWL3S9ZCg#10-%25D0%25BB%25D0%25B5%25D1%2582%25D0%25B8%25D0%25B5_%25D0%25B1%25D0%25BE%25D1%2580%25D1%258C%25D0%25B1%25D1%258B_%25D1%2581_%25D0%25BB%25D0%25B6%25D0%25B5%25D0%25BD%25D0%25B0%25D1%2583%25D0%25BA%25D0%25BE%25D0%25B9_%25D0%25B2_%25D0%25A0%25D0%25BE%25D1%2581%25D1%2581%25D0%25B8%25D0%25B8#
TRUE,Несвоевременные мысли,2007,Гинзбург Виталий Лазаревич,Религия,РУССКИЙ,https://www.icloud.com/pages/0651Mhn4oNNjtUJe2zr7V7l_Q#%25D0%259D%25D0%25B5%25D1%2581%25D0%25B2%25D0%25BE%25D0%25B5%25D0%25B2%25D1%2580%25D0%25B5%25D0%25BC%25D0%25B5%25D0%25BD%25D0%25BD%25D1%258B%25D0%25B5_%25D0%25BC%25D1%258B%25D1%2581%25D0%25BB%25D0%25B8#
TRUE, У религии — судьба астрологии,2007,Гинзбург Виталий Лазаревич,Религия,РУССКИЙ,https://www.icloud.com/pages/087CorN2kSAX_mbDS7keep2rA#_%25D0%25A3_%25D1%2580%25D0%25B5%25D0%25BB%25D0%25B8%25D0%25B3%25D0%25B8%25D0%25B8_%25E2%2580%2594_%25D1%2581%25D1%2583%25D0%25B4%25D1%258C%25D0%25B1%25D0%25B0_%25D0%25B0%25D1%2581%25D1%2582%25D1%2580%25D0%25BE%25D0%25BB%25D0%25BE%25D0%25B3%25D0%25B8%25D0%25B8#
TRUE,"О СКАЗКАХ, РЕЛИГИИ И ВЕРЕ В СУЩЕСТВОВАНИЕ БОГА",2008,Гинзбург Виталий Лазаревич,Религия,РУССКИЙ,https://www.icloud.com/iclouddrive/0b8fZZaVJQwHUX-XEmITRfwZA#%25D0%259E_%25D0%25A1%25D0%259A%25D0%2590%25D0%2597%25D0%259A%25D0%2590%25D0%25A5%2C_%25D0%25A0%25D0%2595%25D0%259B%25D0%2598%25D0%2593%25D0%2598%25D0%2598_%25D0%2598_%25D0%2592%25D0%2595%25D0%25A0%25D0%2595_%25D0%2592_%25D0%25A1%25D0%25A3%25D0%25A9%25D0%2595%25D0%25A1%25D0%25A2%25D0%2592%25D0%259E%25D0%2592%25D0%2590%25D0%259D%25D0%2598%25D0%2595_%25D0%2591%25D0%259E%25D0%2593%25D0%2590#
TRUE,НЕПОНИМАНИЕ - НЕ АРГУМЕНТ!,2008,Гинзбург Виталий Лазаревич,Религия,РУССКИЙ,https://www.icloud.com/pages/04bzkVplcnLmP3GsYj5UsZaqQ#%25D0%259D%25D0%2595%25D0%259F%25D0%259E%25D0%259D%25D0%2598%25D0%259C%25D0%2590%25D0%259D%25D0%2598%25D0%2595_-_%25D0%259D%25D0%2595_%25D0%2590%25D0%25A0%25D0%2593%25D0%25A3%25D0%259C%25D0%2595%25D0%259D%25D0%25A2!#
TRUE,ТЕОРИЯ РАСПРОСТРАНЕНИЯ РАДИОВОЛН В ИОНОСФЕРЕ,1946,Гинзбург Виталий Лазаревич,Физика,РУССКИЙ,https://www.icloud.com/iclouddrive/083hbf7qny5RClUEAhq5acgTw#%25D0%25A2%25D0%2595%25D0%259E%25D0%25A0%25D0%2598%25D0%25AF_%25D0%25A0%25D0%2590%25D0%25A1%25D0%259F%25D0%25A0%25D0%259E%25D0%25A1%25D0%25A2%25D0%25A0%25D0%2590%25D0%259D%25D0%2595%25D0%259D%25D0%2598%25D0%25AF_%25D0%25A0%25D0%2590%25D0%2594%25D0%2598%25D0%259E%25D0%2592%25D0%259E%25D0%259B%25D0%259D_%25D0%2592_%25D0%2598%25D0%259E%25D0%259D%25D0%259E%25D0%25A1%25D0%25A4%25D0%2595%25D0%25A0%25D0%2595#
TRUE,Кристаллооптика с учетом пространственной дисперсии и теория экситонов,1965,"Агранович В.М., Гинзбург В.Л.",Физика,РУССКИЙ,https://www.icloud.com/iclouddrive/07d_sj3aR1ogClUPKnRsFGinQ#%25D0%259A%25D1%2580%25D0%25B8%25D1%2581%25D1%2582%25D0%25B0%25D0%25BB%25D0%25BB%25D0%25BE%25D0%25BE%25D0%25BF%25D1%2582%25D0%25B8%25D0%25BA%25D0%25B0_%25D1%2581_%25D1%2583%25D1%2587%25D0%25B5%25D1%2582%25D0%25BE%25D0%25BC_%25D0%25BF%25D1%2580%25D0%25BE%25D1%2581%25D1%2582%25D1%2580%25D0%25B0%25D0%25BD%25D1%2581%25D1%2582%25D0%25B2%25D0%25B5%25D0%25BD%25D0%25BD%25D0%25BE%25D0%25B9_%25D0%25B4%25D0%25B8%25D1%2581%25D0%25BF%25D0%25B5%25D1%2580%25D1%2581%25D0%25B8%25D0%25B8_%25D0%25B8_%25D1%2582%25D0%25B5%25D0%25BE%25D1%2580%25D0%25B8%25D1%258F_%25D1%258D%25D0%25BA%25D1%2581%25D0%25B8%25D1%2582%25D0%25BE%25D0%25BD%25D0%25BE%25D0%25B2#
TRUE,Космические лучи. Их состав и происхождение,1963,"Гинзбург В. Л., Сыроватский С.",Физика,РУССКИЙ,https://www.icloud.com/iclouddrive/0b6FM11kot1jxAAFjA6osfF3A#%25D0%259A%25D0%25BE%25D1%2581%25D0%25BC%25D0%25B8%25D1%2587%25D0%25B5%25D1%2581%25D0%25BA%25D0%25B8%25D0%25B5_%25D0%25BB%25D1%2583%25D1%2587%25D0%25B8._%25D0%2598%25D1%2585_%25D1%2581%25D0%25BE%25D1%2581%25D1%2582%25D0%25B0%25D0%25B2_%25D0%25B8_%25D0%25BF%25D1%2580%25D0%25BE%25D0%25B8%25D1%2581%25D1%2585%25D0%25BE%25D0%25B6%25D0%25B4%25D0%25B5%25D0%25BD%25D0%25B8%25D0%25B5#
TRUE,РАСПРОСТРАНЕНИЕ ЭЛЕКТРОМАГНИТНЫХ ВОЛН В ПЛАЗМЕ,2015,Гинзбург Виталий Лазаревич,Физика ,РУССКИЙ,https://www.icloud.com/iclouddrive/073yk16Kk9JkXUdC2jocBV6bA#%25D0%25A4%25D0%2598%25D0%2597%25D0%2598%25D0%25A7%25D0%2595%25D0%25A1%25D0%259A%25D0%2598%25D0%2599_%25D0%259C%25D0%2598%25D0%259D%25D0%2598%25D0%259C%25D0%25A3%25D0%259C_%25D0%259D%25D0%2590_%25D0%259D%25D0%2590%25D0%25A7%25D0%2590%25D0%259B%25D0%259E_XXI_%25D0%2592%25D0%2595%25D0%259A%25D0%2590#
TRUE,Волны в магнитоактивной плазме,1967,Гинзбург Виталий Лазаревич,Физика,РУССКИЙ,https://www.icloud.com/iclouddrive/0c24FNDtkxUjhoSemodA7Pvng#%25D0%2592%25D0%25BE%25D0%25BB%25D0%25BD%25D1%258B_%25D0%25B2_%25D0%25BC%25D0%25B0%25D0%25B3%25D0%25BD%25D0%25B8%25D1%2582%25D0%25BE%25D0%25B0%25D0%25BA%25D1%2582%25D0%25B8%25D0%25B2%25D0%25BD%25D0%25BE%25D0%25B9_%25D0%25BF%25D0%25BB%25D0%25B0%25D0%25B7%25D0%25BC%25D0%25B5#
TRUE,Некоторые вопросы тоерии переходного излучения и переходного рассеяния.,1978,Гинзбург Виталий Лазаревич,Физика,РУССКИЙ,https://www.icloud.com/iclouddrive/05fJ5wAyqzQkYx_FofCA22ZVA#%25D0%259F%25D0%25B5%25D1%2580%25D0%25B5%25D1%2585%25D0%25BE%25D0%25B4%25D0%25BD%25D0%25BE%25D0%25B5_%25D0%25B8%25D0%25B7%25D0%25BB%25D1%2583%25D1%2587%25D0%25B5%25D0%25BD%25D0%25B8%25D0%25B5_%25D0%25B8_%25D0%25BF%25D0%25B5%25D1%2580%25D0%25B5%25D1%2585%25D0%25BE%25D0%25B4%25D0%25BD%25D0%25BE%25D0%25B5_%25D1%2580%25D0%25B0%25D1%2581%25D1%2581%25D0%25B5%25D1%258F%25D0%25BD%25D0%25B8%25D0%25B5.#
TRUE,Пульсары (Теоретические представления),1971,Гинзбург Виталий Лазаревич,"Физика, Астрономия",РУССКИЙ,https://www.icloud.com/iclouddrive/044SJTPg_5fOrm0bPvQsaQ0DQ#%25D0%259F%25D1%2583%25D0%25BB%25D1%258C%25D1%2581%25D0%25B0%25D1%2580%25D1%258B_(%25D0%25A2%25D0%25B5%25D0%25BE%25D1%2580%25D0%25B5%25D1%2582%25D0%25B8%25D1%2587%25D0%25B5%25D1%2581%25D0%25BA%25D0%25B8%25D0%25B5_%25D0%25BF%25D1%2580%25D0%25B5%25D0%25B4%25D1%2581%25D1%2582%25D0%25B0%25D0%25B2%25D0%25BB%25D0%25B5%25D0%25BD%25D0%25B8%25D1%258F)#
TRUE,Несколько замечаний об изучении сверхпроводимости,2004,Гинзбург Виталий Лазаревич,Физика,РУССКИЙ,https://www.icloud.com/iclouddrive/00akGhaRwUphF7ph9daJ1M13Q#%25D0%259D%25D0%25B5%25D1%2581%25D0%25BA%25D0%25BE%25D0%25BB%25D1%258C%25D0%25BA%25D0%25BE_%25D0%25B7%25D0%25B0%25D0%25BC%25D0%25B5%25D1%2587%25D0%25B0%25D0%25BD%25D0%25B8%25D0%25B9_%25D0%25BE%25D0%25B1_%25D0%25B8%25D0%25B7%25D1%2583%25D1%2587%25D0%25B5%25D0%25BD%25D0%25B8%25D0%25B8_%25D1%2581%25D0%25B2%25D0%25B5%25D1%2580%25D1%2585%25D0%25BF%25D1%2580%25D0%25BE%25D0%25B2%25D0%25BE%25D0%25B4%25D0%25B8%25D0%25BC%25D0%25BE%25D1%2581%25D1%2582%25D0%25B8#
TRUE,A few comments on superconductivity research,2005,V L Ginzburg,Physics,ENGLISH,http://www.apple.com#
FALSE,Самородок (НЕ НАЙДЕНО),,,,,http://www.apple.com#
TRUE,"ОБЩАЯ ТЕОРИЯ ОТНОСИТЕЛЬНОСТИ ПОСЛЕДОВАТЕЛЬНА ЛИ ОНА? ОТВЕЧАЕТ ЛИ ОНА ФИЗИЧЕСКОЙ РЕАЛЬНОСТИ?
",1979,Гинзбург Виталий Лазаревич,Физика,РУССКИЙ,https://www.icloud.com/iclouddrive/091758eHwSCuxw37s6mhzSOQw#%25D0%259E%25D0%2591_%25D0%25AD%25D0%259A%25D0%25A1%25D0%259F%25D0%2595%25D0%25A0%25D0%2598%25D0%259C%25D0%2595%25D0%259D%25D0%25A2%25D0%2590%25D0%259B%25D0%25AC%25D0%259D%25D0%259E%25D0%2599_%25D0%259F%25D0%25A0%25D0%259E%25D0%2592%25D0%2595%25D0%25A0%25D0%259A%25D0%2595_%25D0%259E%25D0%2591%25D0%25A9%25D0%2595%25D0%2599_%25D0%25A2%25D0%2595%25D0%259E%25D0%25A0%25D0%2598%25D0%2598_%25D0%259E%25D0%25A2%25D0%259D%25D0%259E%25D0%25A1%25D0%2598%25D0%25A2%25D0%2595%25D0%259B%25D0%25AC%25D0%259D%25D0%259E%25D0%25A1%25D0%25A2%25D0%2598_#
FALSE,Космические лучи у Земли и во Вселенной (НЕ НАЙДЕНО ЕСТЬ В РГБ),1967,"Гинзбург, Виталий Лазаревич",Физика,РУССКИЙ,http://www.apple.com#
FALSE,Письма к любимой (НЕ НАЙДЕНО ЕСТЬ В РГБ),не указано,"Гинзбург, Виталий Лазаревич",,РУССКИЙ,http://www.apple.com#
TRUE,"УСТНЫЙ ВЫПУСК ЖУРНАЛА ""УСПЕХИ ФИЗИЧЕСКИХ НАУК""
К истории журнала ""Успехи физических наук",2009,"Гинзбург, Виталий Лазаревич",,РУССКИЙ,https://www.icloud.com/iclouddrive/067LDhkcAY3FkBGw75TkQakZQ#%25D0%259A_%25D0%25B8%25D1%2581%25D1%2582%25D0%25BE%25D1%2580%25D0%25B8%25D0%25B8_%25D0%25B6%25D1%2583%25D1%2580%25D0%25BD%25D0%25B0%25D0%25BB%25D0%25B0_%25E2%2580%259C%25D0%25A3%25D1%2581%25D0%25BF%25D0%25B5%25D1%2585%25D0%25B8_%25D1%2584%25D0%25B8%25D0%25B7%25D0%25B8%25D1%2587%25D0%25B5%25D1%2581%25D0%25BA%25D0%25B8%25D1%2585_%25D0%25BD%25D0%25B0%25D1%2583%25D0%25BA%25E2%2580%259D#
TRUE,On the history of Uspekhi Fizicheskikh Nauk,2009,V L Ginzburg,,ENGLISH,https://www.icloud.com/iclouddrive/0e1P3_a6Vofcf2MvFWw0aJ-MA#On_the_history_of_Uspekhi_Fizicheskikh_Nauk#
TRUE,ON THE INFLUENCE OF THE TERRESTRIAL MAGNETIC FIELD ON THE REFLECTION OF RADIO WAVES FROM THE IONOSPHERE,1942,V L Ginzburg,Физика,ENGLISH,https://www.icloud.com/iclouddrive/038LHh_eUPPzbPGHAvUysBNpg#ON_THE_INFLUENCE_OF_THE_TERRESTRIAL_MAGNETIC_FIELD_ON_THE_REFLECTION_OF_RADIO_WAVES_FROM_THE_IONOSPHERE#
TRUE,"PERSONALIA Виталий Лазаревич Гинзбург (к девяностолетию со дня рождения)

 ",2006,УСПЕХИ ФИЗИЧЕСКИХ НАУК,,,http://www.apple.com#
FALSE,,,,,,http://www.apple.com#
FALSE,,,,,,http://www.apple.com#
FALSE,,,,,,http://www.apple.com#
FALSE,,,,,,http://www.apple.com#